name,level,branch,summary,strength,agility,endurance,intelligence,education,charisma,will,essence,initiative,skills,ranks,paths,lateral,mastery,signature,equipment,income,description
Science,1,Intellectual,Science Student / Research Assistant,,,,+1,+1,,,,,Admin 1; ScanLoc 1; Focus 1,LngLatin; Sciencex2; Art:Writing; Cont:Academ,Scientist; Engineer,Any level one career,,,,,"The Science career represents the starting point for those pursuing scientific research and discovery. With modest boosts to Intelligence and Education, they possess the analytical foundation needed for laboratory work and theoretical study. Their skillset introduces administration, scanning, and focus, providing the core competencies of a researcher. Their connections to academic institutions, proficiency in Latin, and artistic writing skills help them publish and communicate their findings. The Science student is the first step toward becoming a Scientist or Engineer, with a path focused on empirical inquiry."
Techy,1,Intellectual,Technical Apprentice / Hardware Tinkerer,,,,+1,+1,,,,,Admin 0; ScanLoc 1; Electrical 1; Electronics 1; Coding 1; Cybernetics 1; Mechanical 1; Bypass 1; SysVulns 1,Vtol; Cont:Academ,Engineer,Any level one career,,,,,"The Techy is a hands-on technician who learns the basics of electronics, mechanics, and computing through trial and error. With modest boosts to Intelligence and Education, they possess the analytical foundation needed for technical work. Their skillset introduces scanning, electrical, electronics, coding, cybernetics, mechanics, bypass, and system vulnerabilities, providing the core competencies of a tinkerer. Their connections to academic institutions and VTOL familiarity hint at specialized training. The Techy is the starting point for technical careers, with paths leading to Engineering or specialized roles."
Bomber,2,Armsman,Explosives Technician / Demolition Specialist,,,,+2,+1,,+2,,,Melee 1; First-Aid 1; Pistols 2; Electrical 2; Disguise 1; Ordinance 2; Perception 1; Stealth 1; Tactics 2; Electronics 2; Veteran 2; Bypass 2,Cont:*Crimin,Terrorist; Operator,Mercenary; Survivalist,,,,,"The Bomber is a specialist in explosives and demolition, capable of creating and deploying destructive devices with precision. Evolving from Rebels or Soldiers, they possess high Intelligence and Willpower, reflecting the technical expertise and mental fortitude required to work with volatile materials. Their skillset focuses on ordinance, electrical and electronics engineering, bypass techniques, and tactics, enabling them to construct sophisticated explosive devices and plan their placement for maximum effect. They are also skilled in stealth, disguise, and perception, allowing them to scout targets and plant devices undetected. The Bomber is a force of destruction, turning infrastructure into kindling."
Bondsman,2,Armsman,Bounty Enforcement Agent / Fugitive Recovery Officer,+2,+1,+2,+1,,+1,,,,Admin 1; Bribe 1; Persuade 2; Intimidate 1; Streetwise 2; Pistols 2; Melee 2; Perception 2; Bypass 1; Interrogate 2; Psychology 2,Kn:City; Lang:+1; Cont:LEO,Operator; Field Agent,Detective; Hunter,,,,,"The Bondsman is a licensed agent who tracks and apprehends fugitives who have skipped bail, operating in the gray area between law enforcement and private enterprise. Evolving from Cops or Guards, they possess solid Strength and Endurance, along with Charisma that aids in negotiation and intimidation. Their skillset blends combat skills in pistols and melee with investigative abilities like interrogation, perception, and psychology, enabling them to locate and capture their targets. They are also skilled in bribery, persuasion, and streetwise, allowing them to navigate both the legal system and the criminal underworld. The Bondsman is the pragmatic face of justice, motivated by profit but bound by the law."
Border Guard,2,Armsman,Frontier Sentinel / Immigration Enforcement,,+2,,+1,,,,,+2,Admin 1; Pistols 1; Rifles 1; Melee 1; Drive 1; Perception 2; ScanLoc 2; Psychology 1; Survival 1,Kn:Area; Kn:Region; Lang:+1; Transportx3,Operator; Search&Rescue,Tracker; Pilot; Smuggler,,,,,"The Border Guard is a frontline defender of national boundaries, stationed at crossings and checkpoints to monitor and control the flow of people and goods. Evolving from Guards or Soldiers, they possess high Agility and Initiative, enabling rapid response to smuggling attempts and border incursions. Their skillset includes firearms proficiency, driving, scanning, perception, and survival skills, allowing them to patrol vast and varied terrain effectively. They are also trained in psychology and administration, helping them assess travelers and manage the bureaucratic aspects of border control. The Border Guard stands at the edge of civilization, deciding who enters and who is turned away."
City Ronin,2,Armsman,Urban Warrior / Masterless Fighter,+1,+2,+1,,,,,+2,+2,Melee 2; Athletics 2; Intimidate 1; First-Aid 1; Veteran 2; Pistols 2; Rifles 2; Perception 1; Honour 1; Stealth 2; Streetwise 2,Kn:City; Cont:*Crimin; Lng:+1,Densetsushi; BlackGuard; Operator; Hitman,,,,,,"The City Ronin is a masterless warrior who wanders the urban landscape, offering their combat skills to the highest bidder while adhering to a personal code of honor. Evolving from Razorboys or Street Samurais, they possess well-rounded physical stats with notable boosts to Agility, Initiative, and Essence, making them fast, reactive, and spiritually attuned. Their skillset spans melee, athletics, firearms, stealth, and streetwise, reflecting their versatility in both combat and social situations. They carry a sense of honor that sets them apart from common thugs, and their veteran experience gives them an edge in urban warfare. The City Ronin is a blade without a master, seeking purpose in the chaos of the city."
Commando,2,Armsman,Elite Infantry / Special Operations Soldier,+2,+2,+2,,+1,,+1,,,Rifles 2; First-Aid 1; Pistols 2; Melee 2; Veteran 2; Ordinance 1; Perception 2; Stealth 2; Survival 2; Tactics 2; Athletics 2; Honour 1,Cont:Military,Operator; BlackGuard; Terrorist,Mercenary; Bomber; Tracker,,,,,"The Commando is an elite soldier trained for special operations behind enemy lines, combining combat proficiency with survival and tactical expertise. Evolving from Soldiers or Rebels, they possess strong physical stats across Strength, Agility, and Endurance, along with a boost to Education and Willpower that reflects their specialized training. Their skillset is a comprehensive mix of rifles, pistols, melee, stealth, survival, tactics, and athletics, making them adaptable to any mission profile. They are also trained in first aid and carry a sense of honor, distinguishing them from common mercenaries. The Commando is the tip of the spear, capable of operating independently in hostile territory for extended periods."
Detective,2,Armsman,Investigator / Plainclothes Officer,,+1,,+2,+1,+1,,,,Admin 2; Bribe 1; Instinct 2; Frame 1; Interrogate 2; Pistols 2; ScanLoc 2; Melee 1; Perception 2; Veteran 1; Psychology 2; Streetwise 2,Kn:City; Cont:LEO,Federal Agent; Conspiracist; Bounty Hunter,Bondsman; Guard Captain,,,,,"The Detective is an experienced investigator who has moved beyond patrol duties into the complex world of solving crimes through analysis, intuition, and interrogation. Evolving from Cops, they possess enhanced Intelligence and Education, along with Charisma that aids in extracting information from witnesses and suspects. Their skillset is built around investigation: instinct, interrogation, scanning, perception, psychology, and streetwise, complemented by combat proficiency in pistols and veteran experience. They are also skilled in bribery and frame-building, reflecting the sometimes morally gray nature of detective work. The Detective is the thinking person's law enforcement officer, with paths leading to federal agencies, conspiracy investigation, or bounty hunting."
Guard Captain,2,Armsman,Security Commander / Facility Defense Leader,+2,+1,+2,+1,,+1,,,,Admin 1; First-Aid 1; Pistols 2; Rifles 2; Melee 1; Perception 2; Tactics 1; Interrogate 1; Frame 1; Psychology 2; Veteran 1,Cont:Legal,Field Agent; Operator,Bondsman; Border Guard,,,,,"The Guard Captain is a senior security officer who oversees a team of guards and manages the defense of a facility or installation. Evolving from Guards or Cops, they possess solid Strength and Endurance, along with Intelligence and Charisma that aids in managing personnel and liaising with authorities. Their skillset expands beyond basic guard duties to include first aid, tactics, interrogation, frame-building, and psychology, reflecting the increased responsibilities of leadership. They are proficient in pistols and rifles, and their veteran experience lends credibility to their commands. The Guard Captain is a defensive leader, with paths leading to field agency or operator roles."
Hunter,2,Armsman,Big Game Tracker / Bounty Pursuer,+2,+2,+2,+1,+1,+1,,,+1,Admin 2; Veteran 2; Lore 2; Shadow 1; Interrogate 1; Pistols 2; Ritual 2; Melee 2; Perception 2; Thief 1; Persuade 2; Psychology 2; Stealth 2; Disguise 2,Cont:Hnt,Warden; Bounty Hunter; Conspiracist,Tracker; Survivalist,,,,,"The Hunter is a skilled tracker and outdoorsperson who pursues quarry — animal or human — across varied terrain, using patience, knowledge, and combat proficiency. Evolving from Pups or Survivors, they possess strong physical stats across Strength, Agility, and Endurance, with an Initiative boost that enables quick reactions. Their skillset is remarkably diverse, blending combat skills in pistols, melee, and rifles with tracking abilities like shadowing, stealth, disguise, and perception. They are also trained in administration, veteran experience, ritual, lore, and psychology, making them versatile operatives who understand both prey and people. The Hunter is a predator with a conscience, able to pursue paths as a Warden, Bounty Hunter, or Conspiracist."
Mercenary,2,Armsman,Soldier of Fortune / Combat Contractor,+2,+1,+2,,,,+1,,+1,Melee 2; First-Aid 1; Pistols 1; Rifles 2; Honour 1; Ordinance 1; Perception 1; Stealth 1; Survival 1; Tactics 1; Veteran 2,Cont:Military,Operator; BlackGuard,Commando; Bomber,,,,,"The Mercenary is a professional soldier who sells their combat skills to the highest bidder, operating outside formal military structures. Evolving from Soldiers, Rebels, or Razorboys, they possess strong physical stats in Strength and Endurance, along with an Initiative boost that makes them combat-ready. Their skillset spans melee, first aid, pistols, rifles, ordinance, stealth, survival, tactics, and veteran experience, making them versatile fighters who can handle a wide range of mission profiles. They are also bound by a sense of honor, which distinguishes them from mere thugs. The Mercenary is a gun for hire, with paths leading to elite operator or Blackguard roles."
S.W.A.T.,2,Armsman,Tactical Police Unit / Special Weapons Team,+1,+2,+1,+1,+1,,+1,,+2,Melee 1; First-Aid 2; Pistols 2; Rifles 2; Veteran 2; Ordinance 2; Perception 2; Tactics 2; Stealth 2,Cont:LEO; Transportx2,Union Agent; Blackguard; Operative,Guard Captain; Mercenary; Border Guard; Street Samurai; Hunter,,,,,"The S.W.A.T. officer is a member of a specialized tactical police unit trained for high-risk operations, hostage rescues, and riot control. Evolving from Cops or Guards, they possess enhanced Agility and Initiative, along with solid Strength and Endurance, enabling them to breach buildings and engage in intense firefights. Their skillset is a comprehensive mix of melee, first aid, pistols, rifles, veteran experience, ordinance, perception, tactics, and stealth, making them elite operators within the law enforcement framework. Their connections to law enforcement and transportation networks support their rapid deployment. The S.W.A.T. officer is the tip of the police spear, with paths leading to union agency, Blackguard, or Operator roles."
Street Samurai,2,Armsman,Urban Warrior / Corporate Enforcer,+1,+2,+1,,,,,+2,+2,Frame 1; Athletics 2; Intimidate 2; First-Aid 1; Stealth 2; Pistols 2; Rifles 2; Melee 2; Perception 2; Honour 2; Veteran 2; ScanLoc 1,Kn:City; Cont:Corpo,Blackguard; Operator; Fukusho,Mercenary; Commando; Hunter; City Ronin,,,,,"The Street Samurai is a cyber-enhanced warrior who serves corporations, gangs, or private clients, combining traditional martial arts with modern technology. Evolving from Razorboys, they possess enhanced Agility, Initiative, and Essence, reflecting their cybernetic augmentations and quick reflexes. Their skillset spans frame-building, athletics, intimidation, first aid, stealth, pistols, rifles, melee, perception, honor, and veteran experience, making them versatile combatants in the urban jungle. Their knowledge of the city and corporate connections give them access to high-paying gigs. The Street Samurai is the blade of the corporation, with paths leading to Blackguard, Operator, or Fukusho roles."
Survivalist,2,Armsman,Wilderness Expert / Self-Reliant Scout,+1,+1,+2,,+1,,+1,,,First-Aid 1; Pistols 1; Rifles 2; Melee 1; Perception 2; Stealth 1; Survival 2; Mechanical 1; Ordinance 1; Electrical 1,Transportx2,,,,,,,"The Survivalist is an expert in surviving in the wild, able to live off the land and endure the harshest conditions. Evolving from Soldiers, Rebels, or Survivors, they possess enhanced Endurance and Education, along with Strength, Agility, and Willpower, reflecting their physical toughness and mental resilience. Their skillset covers first aid, rifles, melee, perception, stealth, survival, mechanics, ordinance, and electrical, enabling them to build shelters, hunt, and defend themselves in remote areas. Their transportation connections help them move through the wilderness. The Survivalist is the ultimate self-reliant individual, with no further paths as they have mastered the art of staying alive."
Tracker,2,Armsman,Trail Finder / Pursuit Specialist,+1,+1,+2,+1,+2,,+1,,,First-Aid 1; Pistols 1; Rifles 2; Melee 1; Perception 2; Stealth 2; Survival 2; Shadow 2; Disguise 1; Navigation 1,Trnsptx2; Cont:Military,Ranger; Operator; Blackguard,Survivalist; Mercenary; Border Guard,,,,,"The Tracker is a skilled pursuer who can follow trails across any terrain, locating targets or game with uncanny accuracy. Evolving from Pups, Survivors, or Hunters, they possess enhanced Endurance and Education, along with Strength, Agility, and Willpower, reflecting their physical stamina and mental focus. Their skillset covers first aid, rifles, melee, perception, stealth, survival, shadowing, disguise, and navigation, enabling them to track, evade, and intercept targets. Their transportation connections and military contacts support their operations. The Tracker is the hound of the underworld, with paths leading to Ranger, Operator, or Blackguard roles."
Adept,2,Channeler,Physical Channeler Initiate / Body Discipline Practitioner,+2,+2,+2,,,,+1,+2,+2,Ritual 2; Athletics 2; Chan:Phys 2; Focus 2; Perception 2; First-Aid 1; Instinct 2; Melee 2; Lore 1; Stealth 2; Survival 1; Honour 2,Cont:Phys,Monk; BlackGuard,Mercenary,Mercenary,,,,"The Adept is an initiate who has learned to channel magical energy through their own body, blending martial prowess with physical channeling arts. Evolving from Novices, they possess balanced physical and spiritual stats, with notable boosts to Strength, Agility, Endurance, and Essence, allowing them to perform supernatural physical feats. Their skillset combines ritual, athletics, melee combat, and channeling physical energy, enabling them to fight with enhanced speed and power while maintaining spiritual discipline. They are also skilled in stealth, survival, and instinct, making them formidable in both combat and wilderness situations. The Adept walks the path between warrior and mystic, preparing for advancement to higher physical or shadow disciplines."
Medium,2,Channeler,Spirit Communicator / Psychic Sensitive,,,,+2,,+1,+2,+2,,Admin 2; Focus 2; ScanLoc 2; Ritual 2; Chan:Mental 2; First-Aid 1; Instinct 2; Lore 2; Perception 2,Lng:+1; Cont:Mental,Psychic; Occultist,,,,,,"The Medium is a practitioner who bridges the gap between the living and the spirit world, using psychic sensitivity to communicate with the dead and perceive hidden truths. Evolving from the Gifted, they possess enhanced Intelligence, Charisma, Willpower, and Essence, reflecting their growth in both mental and spiritual power. Their skillset centers on mental channeling, focus, ritual, scanning, lore, and perception, enabling them to receive visions, interpret spiritual signals, and guide others. They are also skilled in first aid and instinct, providing comfort and practical help to those who seek their services. The Medium is the bridge between worlds, with paths leading to full psychic development or the study of the occult."
Polter,2,Channeler,Kinetic Spirit Manifestation / Telekinetic Entity,,,,,,,+2,+2,,Admin 1; Chan:Spirit 2; Focus 2; Discipline 0; Lore 1; Persuade 0; Ritual 2; Intimidate 0,,,,,,,,"The Polter is a spirit-touched individual who manifests kinetic energy through willpower, causing objects to move, break, or levitate without physical contact. Evolving from Ghosts, they possess enhanced Willpower and Essence, reflecting their deep connection to the astral and their ability to impose their will on the material world. Their skillset focuses on spirit channeling, focus, discipline, and ritual, enabling them to control their manifestations and avoid losing themselves to the chaos of uncontrolled power. They are also skilled in lore and intimidation, using their eerie presence to unsettle foes. The Polter is a force of nature, a bridge between the ethereal and the physical."
Priest,2,Channeler,Religious Cleric / Spiritual Shepherd,,,,+2,+2,+1,+2,+2,,Admin 1; Focus 2; Honour 2; Perception 1; Lore 2; Persuade 1; Ritual 2; Chan:Cath 2,Lng:+1; Cont:Catholic; Cont:*Legal; Cont:*Crimin,,,,,,,"The Priest is an ordained cleric who serves a religious institution, providing spiritual guidance, performing sacraments, and ministering to the faithful. Evolving from Seminarians, they possess enhanced Intelligence, Education, Charisma, Willpower, and Essence, reflecting their deep theological knowledge and spiritual connection. Their skillset centers on Catholic channeling, focus, honor, lore, persuasion, and ritual, enabling them to lead services, offer counsel, and perform miracles. They are also skilled in administration and perception, managing parish affairs and discerning the needs of their flock. Their connections to legal and criminal circles suggest a complex role in society, bridging the sacred and the profane. The Priest is a pillar of the community, with paths leading to higher ecclesiastical office or the specialized role of Exorcist."
Shaman,2,Channeler,Tribal Healer / Spirit Medium,,,+1,,+2,+2,+2,+2,,Lore 2; Chan:Sham 2; Focus 2; Intimidate 1; Honour 2; Persuade 2; Psychology 2; Perception 2; Streetwise 1; Ritual 2,lang+2; Cont:Shaman; Cont:*Crimin; Cont:*Legal; Cont:*Chan,,,,,,,"The Shaman is a spiritual leader and healer within a tribal community, serving as a bridge between the physical world and the spirit realm. Evolving from Cubs, they possess enhanced Endurance, Education, Charisma, Willpower, and Essence, reflecting their deep connection to their people and the spirits. Their skillset centers on shamanic channeling, focus, intimidation, honor, persuasion, psychology, perception, streetwise, and ritual, enabling them to heal the sick, divine the future, and protect their tribe. Their connections to shamanic, criminal, legal, and channeling communities give them a wide network. The Shaman is the heart of their tribe, with no further paths as they have reached the peak of their tradition."
Street Mage,2,Channeler,Urban Hermetic / Street Sorcerer,,,,+2,+2,,+2,+2,,Admin 2; Chan:Herm 2; Focus 2; Thief 1; Perception 1; Lore 2; Persuade 1; Ritual 2; Streetwise 2,Lng:+1; Cont:Hermetic; Cont:*Crimin; Cont:*Legal; Cont:*Chan,Magician; Occultist,Mercenary,,,,,"The Street Mage is a Hermetic magician who operates in the urban environment, blending arcane arts with street smarts to cast spells and manipulate reality. Evolving from Apprentices or Dabblers, they possess enhanced Intelligence, Education, Willpower, and Essence, reflecting their deep magical knowledge and spiritual resilience. Their skillset centers on Hermetic channeling, focus, theft, perception, lore, persuasion, ritual, and streetwise, enabling them to perform rituals, acquire components, and navigate the underworld. Their connections to Hermetic, criminal, legal, and channeling communities give them a wide network. The Street Mage is a wizard of the concrete jungle, with paths leading to the Magician or Occultist."
Vadouan,2,Channeler,Vodou Practitioner / Spirit Worker,,,,+2,,+2,+2,+2,,Lore 2; Focus 2; Intimidate 2; Chan:Voodoo 2; Persuade 2; Ritual 2; Streetwise 2; Perception 2,Lng:+1; Cont:*Crimin; Cont:*Legal; Cont:*Chan; Cont:Vadouan,,,,,,,"The Vadouan is a dedicated practitioner of Vodou, skilled in rituals, spirit communication, and community healing. Evolving from Hounsi, they possess enhanced Intelligence, Charisma, Willpower, and Essence, reflecting their deep spiritual connection and social influence. Their skillset centers on lore, focus, intimidation, Vodou channeling, persuasion, ritual, streetwise, and perception, enabling them to lead ceremonies, guide the community, and navigate the complexities of the spirit world. Their connections to criminal, legal, and channeling communities give them a wide network. The Vadouan is a pillar of the Vodou faith, with no further paths as they have reached the height of their tradition."
Wage Mage,2,Channeler,Corporate Mage / Paid Spellcaster,,,,+2,+2,,+1,+2,,Admin 2; Chan:Herm 2; Focus 2; Honour 1; Lore 2; Persuade 1; Ritual 2; Perception 1,Lng:+1; Cont:Corpo; Cont:*Legal; Cont:*Chan,,,,,,,"The Wage Mage is a Hermetic magician who works for a corporation or wealthy patron, using their magical skills to solve problems and gain advantages. Evolving from Apprentices or Dabblers, they possess enhanced Intelligence, Education, and Essence, reflecting their magical training and spiritual resilience. Their skillset centers on administration, Hermetic channeling, focus, honor, lore, persuasion, ritual, and perception, enabling them to perform rituals, advise clients, and navigate the corporate world. Their connections to corporate, legal, and channeling communities give them a wide network. The Wage Mage is a mercenary of the arcane, with no further paths as they have reached the limit of their paid practice."
Witch,2,Channeler,Practitioner of the Craft / Hedge Wizard,,,,+2,+1,,+2,+2,,Admin 2; Focus 2; Intimidate 2; Chan:Wiccan 2; Perception 2; Lore 2; Persuade 2; Ritual 2; Streetwise 1,Lng:+1; Cont:*Crimin; Cont:*Legal; Cont:*Chan; Cont:Wiccan,,,,,,,"The Witch is a dedicated practitioner of Wicca, skilled in rituals, spellcasting, and herbalism. Evolving from Wiccans, they possess enhanced Intelligence, Education, Willpower, and Essence, reflecting their deepening magical connection and mental fortitude. Their skillset centers on administration, focus, intimidation, Wiccan channeling, perception, lore, persuasion, ritual, and streetwise, enabling them to perform ceremonies, protect themselves, and navigate both the spiritual and mundane worlds. Their connections to criminal, legal, and channeling communities give them a wide network. The Witch is a guardian of the old ways, with no further paths as they have reached the peak of their tradition."
Director,2,Civilian,Creative Visionary / Production Leader,,,,+2,+1,+2,+1,,,Focus 2; Perception 2; Persuade 2; Psychology 2; Intimidate 1,Art:Writing; Art:Directing,,,,,,,"The Director is a creative professional who oversees artistic productions, guiding the vision and execution of media projects. With enhanced Intelligence, Charisma, and Willpower, they possess the mental clarity and persuasive power needed to lead creative teams. Their skillset centers on focus, perception, persuasion, and psychology, enabling them to manage personalities, read rooms, and maintain artistic coherence throughout a production. They are also skilled in intimidation, reflecting the authoritative nature of directing. Their connections in writing and directing circles anchor them in the creative industry. The Director is a behind-the-scenes power, shaping stories that influence millions."
National Hit,2,Civilian,Celebrity Performer / Media Star,,,,+1,,+2,+1,,,Focus 2; Perception 1; Persuade 2; Psychology 2; Disguise 2,Art:Writing; Art:Perform,,,,,,,"The National Hit is a celebrity entertainer who has achieved widespread fame, using their platform to influence culture and public opinion. Evolving from Entertainers, they possess enhanced Charisma and Willpower, along with Intelligence that helps them navigate the business of fame. Their skillset focuses on focus, perception, persuasion, psychology, and disguise, enabling them to manage their public persona, read audiences, and reinvent themselves as needed. Their artistic connections in writing and performance provide the creative foundation for their brand. The National Hit is a household name, wielding influence that extends far beyond the stage."
Netrunner,2,Civilian,Network Infiltrator / Digital Operative,,,,+2,+2,,+2,,+2,Admin 2; Perception 2; Persuade 1; Coding 2; SysVulns 2; Forgery 2; Electronics 1; ScanLoc 1; Focus 2,Lang+1; Cont:; Corpo; Cont:*Any+2,,,,,,,"The Netrunner is a skilled digital operative who navigates virtual spaces and network architectures to gather intelligence, breach systems, and manipulate data. With enhanced Intelligence, Education, Initiative, and Willpower, they possess the mental processing power and focus needed for extended operations in cyberspace. Their skillset centers on coding, system vulnerabilities, forgery, electronics, scanning, and focus, enabling them to infiltrate networks, fabricate digital identities, and cover their tracks. They are also skilled in administration, perception, and persuasion, allowing them to operate as part of a team. Their broad connections across corporate, criminal, and any-contact networks make them invaluable assets in the information age."
Pilot,2,Civilian,Aviation Specialist / Aircraft Commander,+1,+2,+2,+2,+1,,+1,,+2,Admin 1; ScanLoc 2; Perception 2; Navigation 2; Pilot 2; Kn:Routes 0; Lang:Add 1; Tactics 2; Focus 2; Integration 0; Electrical 1; Electronics 1; Mechanical 1; Pistol 1,,,,,,,,"The Pilot is a skilled aviator capable of commanding various aircraft, from commercial airliners to military transports. Evolving from Co-Pilots, they possess enhanced Agility, Intelligence, Education, and Initiative, allowing them to process complex flight data and react instantly to aerial hazards. Their skillset spans navigation, scanning, perception, tactics, and integration, enabling them to plan routes, manage systems, and coordinate with ground crews. They are also proficient in electrical, electronics, and mechanical maintenance, ensuring their aircraft remain airworthy. The Pilot is the master of the sky, with connections that open doors to legitimate airlines or the black market."
Repair Tech,2,Civilian,Field Repair Specialist / Maintenance Technician,,,,+2,+2,,,,,Admin 2; Electrical 2; Electronics 2; ScanLoc 2; Coding 2; Cybernetics 1; SysVulns 1; Mechanical 2,VTOL; Pilot; Drive,,,,,,,"The Repair Tech is a versatile technician who maintains and repairs complex machinery, vehicles, and electronic systems in the field. Evolving from Mechanics or Techys, they possess enhanced Intelligence and Education, giving them the analytical skills to diagnose and fix intricate problems. Their skillset spans administration, electrical, electronics, scanning, coding, cybernetics, system vulnerabilities, and mechanics, making them a one-stop shop for technical maintenance. They are also skilled in VTOL and driving, allowing them to reach remote locations. The Repair Tech is the backbone of any technical operation, keeping the machines running when everything else fails."
Reporter,2,Civilian,Investigative Journalist / Field Correspondent,,,,+2,+1,+2,,,,Admin 2; Intimidate 1; ScanLoc 1; Perception 2; Persuade 2; Psychology 2; Streetwise 2; Bribe 1; Instinct 2; Interrogate 2; Honour 1; Bypass 1,Art:Writ; Cont:Any+3,,,,,,,"The Reporter is an experienced journalist who investigates stories, interviews sources, and reports the news to the public. Evolving from Analysts, Journalists, or Entertainers, they possess enhanced Intelligence, Education, and Charisma, enabling them to dig deep, persuade sources, and present their findings compellingly. Their skillset includes administration, intimidation, scanning, perception, persuasion, psychology, streetwise, bribery, instinct, interrogation, and honor, providing a comprehensive toolkit for investigative work. They are also skilled in bypassing security and bribing officials, reflecting the lengths they go to get the story. The Reporter is the voice of the truth, with broad connections across all sectors of society."
Trauma Tech,2,Civilian,Emergency Medical Technician / Field Trauma Specialist,,,,+2,+2,,,,,Admin 2; Focus 2; First-Aid 2; Perception 1; Psychology 1; Streetwise 2; Treatment 2,Kn:City; Lang:+1; Drive,,,,,,,"The Trauma Tech is a specialized medical responder who provides immediate care in high-stress situations, stabilizing patients before transport. Evolving from Guides, Paramedics, or Mechanics, they possess enhanced Intelligence and Education, enabling them to diagnose and treat complex injuries. Their skillset focuses on administration, focus, first aid, perception, psychology, streetwise, and treatment, providing the tools to manage trauma cases in the field. Their knowledge of the city and language skills help them navigate emergency response systems. The Trauma Tech is the frontline of emergency medicine, with no further paths as they have reached the limit of their specialization."
Whistle Blower,2,Civilian,Truth Revealer / Corporate Dissident,,,,+2,+2,+2,+2,,,Admin 2; Perception 2; Psychology 2; Stealth 2; Bribe 1; Coding 1; Lore 1; Shadow 2; Forgery 2; Disguise 1,,Field Agent; Infiltrator,,,,,,"The Whistle Blower is a courageous insider who exposes corruption, fraud, or illegal activities within an organization. Evolving from Analysts, Journalists, or Drifters, they possess enhanced Intelligence, Education, Charisma, and Willpower, enabling them to gather evidence, withstand pressure, and speak truth to power. Their skillset includes administration, perception, psychology, stealth, bribery, coding, lore, shadowing, forgery, and disguise, providing the tools to uncover secrets, protect their identity, and leak information safely. They are the conscience of the corporation, with paths leading to field agency or infiltration roles."
B&E Expert,2,Criminal,Breaking & Entry Specialist / Infiltration Technician,+1,+2,+1,+2,,,,,+1,Admin 1; Melee 1; Perception 2; Pistols 1; Psychology 1; Stealth 3; Streetwise 2; SysVulns 2; Bypass 2; Electrical 1; Electronics 1; ScanLoc 2,ConFenc; Cont:*Crimin,,,,,,,"The B&E Expert is a professional infiltrator who specializes in bypassing physical and electronic security systems to gain unauthorized access to buildings and facilities. Evolving from Home Invaders or Carjackers, they possess high Agility and Intelligence, along with solid Initiative, making them quick-thinking and nimble. Their skillset is a potent mix of stealth, system vulnerability exploitation, bypass techniques, and electronic skills, allowing them to defeat locks, alarms, and security networks with equal proficiency. They are also competent in perception and streetwise, enabling them to scout targets and navigate the criminal underworld. The B&E Expert is the point of entry for any serious heist, the one who opens the door for everyone else."
Bank Robber,2,Criminal,Heist Specialist / Armed Robbery Professional,+1,+2,+2,+1,+1,,+1,,+2,Focus 1; Intimidate 2; Rifles 2; Ordinance 2; Honour 2; Streetwise 2; Interrogate 1; Pistols 1; Psychology 1; SysVulns 2; Veteran 1; Persuade 2; Perception 2,Kn:City; Cont:Fence,,,,,,,"The Bank Robber is a daring criminal who plans and executes armed robberies against high-value financial targets. Evolving from Carjackers or Inmates, they possess a well-rounded stat profile with notable boosts to Agility, Endurance, and Initiative, allowing them to act decisively under pressure. Their skillset combines firearms proficiency in rifles and pistols with intimidation, ordinance knowledge, and interrogation, making them a formidable presence in any heist scenario. They are also skilled in psychology, streetwise, and system vulnerabilities, enabling them to understand security systems and manipulate hostages. The Bank Robber thrives on adrenaline and precision, turning the vault into their personal treasury."
Enforcer,2,Criminal,Muscle for Hire / Intimidation Specialist,+2,+1,+2,,,,,,+1,Melee 2; First-Aid 1; Perception 2; Intimidate 2; Psychology 2; Streetwise 2; Shadow 2; Interrogate 2; Pistols 1; Persuade 1; Veteran 2; Frame 2,Kn:City; Cont*Crimin+1,,,,,,,"The Enforcer is the physical arm of criminal organizations, using muscle and menace to ensure compliance and settle disputes. Evolving from Gangers, Thugs, or Crooks, they possess strong physical stats in Strength and Endurance, along with an Initiative boost that makes them quick to act when violence erupts. Their skillset blends combat proficiency in melee and pistols with intimidation, interrogation, and shadowing, enabling them to track down and pressure those who cross the organization. They are also skilled in psychology and framing, allowing them to manipulate situations and plant evidence. The Enforcer is the fist of the underworld, delivering consequences with brutal efficiency."
Face,2,Criminal,Con Artist / Social Manipulator,,+1,,+1,+1,+2,,,+1,Bribe 2; Perception 2; Persuade 2; Psychology 2; Pistols 1; Streetwise 2; Instinct 2; Melee 1,Lang+2; Cont:+3,,,,,,,"The Face is a master of social engineering, using charm, deception, and psychological manipulation to gain trust and access where force cannot. Evolving from Crooks, Grifters, or Sex Workers, they possess a well-rounded stat profile highlighted by Charisma and Initiative, allowing them to think on their feet in high-stakes social encounters. Their skillset revolves around bribery, perception, persuasion, psychology, streetwise, and instinct, making them the ideal front-person for any operation requiring social finesse. They are also competent with pistols and melee, able to defend themselves if a con goes sideways. The Face is the voice of the crew, opening doors that no lockpick can touch."
